,ANTA,COAT,COCA,CODI,COLE,CONS,COSE,OCTI,ALEX,DIPR,DRY3,JOLY,MABA,MADU,PHSP,RINA,RINI,TRAC,TRI3,UVBA
Ants,0.93,0.31,0.21,0.29,0.07,0.09,0.1,0.84,0.57,0.47,0.61,0.17,0.13,0.66,0.13,0.15,0,0,0.27,0.26
Bees,0.01,0.06,0,0,0.02,0.03,0,0.04,0.29,0.33,0.08,0.24,0.22,0.07,0.7,0.69,0.88,0.9,0.27,0.04
Beetles,0,0.26,0.1,0.57,0.05,0.01,0,0.01,0.08,0.02,0.03,0.17,0.11,0.03,0.17,0.08,0,0,0.16,0.22
Bugs,0,0.05,0.1,0,0.02,0,0.03,0.07,0,0.02,0.01,0.02,0.01,0.03,0,0,0,0,0.03,0.09
Delicate_flies,0,0.06,0.24,0,0.28,0.04,0.47,0.05,0,0.02,0.08,0.33,0.22,0,0,0,0,0,0.18,0
Robust_flies,0.05,0.25,0.36,0.14,0.56,0.82,0.4,0,0.06,0.14,0.19,0.07,0.32,0.21,0,0.08,0.12,0.1,0.08,0.39
